Date,Incident Narrative,Ground Truth
5/23/24,"Following indiscriminate shelling that affected parts of the Abu Shouk Camp, in El Fasher, North Darfur, and widespread abuses by the RSF, there has been a mass exodus from the camp residents towards unknown destinations.  An  estimated 60% of residents have fled the Abu Shouk camp, according to Sudan Tribune who indicated that "" The camp, home to approximately 400,000 displaced persons, was overrun by the RSF on Wednesday [May 22], triggering a wave of killings, lootings, arrests, and arson, particularly in sections 27 and 28."," Indiscriminate use of weapons,  Willful killing of civilians,  Mass execution"
5/25/24,"On Saturday, May 25,  Minni Minnawi, the governor of North Darfur, declared that at least 30 civilians and 17 soldiers were killed in attacks in El Fasher.  He commented: “This shows that the goal of those attacking el-Fasher is to exterminate the city.”","Indiscriminate use of weapons,  Willful killing of civilians"
5/25/24,Médecins Sans Frontières (MSF) confirmed the death of one of their employees in an artillery strike on his home in central El Fasher.  The employee was an  off-duty watchman working at the MSF pharmacy and was reportedly killed when shelling struck his home near El Fasher’s main market on May 25.,"Indiscriminate use of weapons,  Willful killing of civilians"
5/25/24,"On Saturday, May 25, from five  until eight o’clock in the evening, heavy fighting resumed between the RSF and the SAF  in Babanusa, West Kordofan after the RSF launched anr attack against the Sudanese army’s 22nd Infantry Division base on the western side of that city. Military sources reported at least 5 fighters  killed and 20 injured on the RSF side, and on the Army's side, 7 killed and others injured. This makes a total of at least 12, a number confirmed by Sudan War Monitor.","Military operations (battle,  shelling)"
5/25/24,"On  Saturday, May 25, Gandahar Market in Ombada, just west of Omdurman, was heavily damaged by a fire  allegedly caused by an airstrike by the Sudan Armed Forces. Using geolocation, Sudan War Monitor was able to verify the location of the incident (15.649768, 32.389874), and satellite images corroborated the date, but could not confirm the exact death toll or the cause of the damage.The Rapid Support Forces (RSF), which control the area, produced videos of the aftermath of the blast, showing at least 12 bodies, many of them charred beyond recognition.","Indiscriminate use of weapons,  Willful killing of civilians"
5/25/24,"Since the beginning of the war in April 2023 to May 2024, a campaign dedicated to combating rape and sexual violence in Sudan, “Together Against Rape and Sexual Violence,” has documented 377 cases of rape, including 131 cases involving young girls. There were at least  99 cases documented in North Darfur, 89 in Al Jazirah, 56 in Central Darfur, 55 in Khartoum, and 22 in Al-Obeid. The remaining cases are spread across other regions.","Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
5/26/24,"MSF teams at the Southern Hospital in El Fasher, North Darfur,  have documented 123 deaths and over 930 injuries in the past two weeks alone. Other estimates place the death toll at 134. (On Friday,   clashes between the Sudanese army, armed movements, and the Rapid Support Forces (RSF) left at least  22 dead and over 110 injured, according to Ibrahim Abdallah Khater, General Director of Health in North Darfur State.) Thousands of residents have fled the city, seeking refuge in areas controlled by the Sudan Liberation Movement (SLM) under Abdel Wahid Nur.","Indiscriminate use of weapons,  Willful killing of civilians"
5/27/24,"As a result of the intensification of fighting between the RSF and the Army who is backed by the Joint Force of Armed Struggle Movements, both the security and huminitarian situation has deteriorated according to several reports. The Dar El Salam Emergency Room in North Darfur said in a statement yesterday that almost 20,000 displaced people have fled to the locality to escape fighting in El Fasher and other areas in the past weeks, most of whom are staying with host families.
“There are 11 shelters, 8 of which are schools, in Dar El Salam. The displaced are living in difficult conditions due to the lack of external assistance from humanitarian organisations”. Whereas the SAF claims that it has “successfully expelled the RSF outside of the eastern borders of El Fasher”,  the RSF declared on May 26 that it epelled an attack by the SAF in El Fasher on May 25 and accused the army and allies of sheltering in displaced camps and using civilians as human shields.","Military operations (battle,  shelling)"
5/28/24,"On May 27, Save the Children reported that the number of attacks on schools has increased in Sudan since the beginning of the war with ""88 reports of violent incidents and most schools now closed"". The recorded incidents included ""airstrikes on schools resulting in the killing and injury of students and teachers, torturing of teachers, killing and abduction of teachers and sexual violence against students inside education facilities. Other incidents included occupation of schools by armed groups, use of schools as weapons storage facilities, and battles fought on education premises.""
 "," Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
5/28/24,"The Sudanese Armed Forces (SAF) reportedly shot down a Rapid Support Forces (RSF) drone in El Fasher, capital of North Darfur, on Tuesday, while the RSF continued to fire shells at multiple neighbourhoods in the city. A SAF airstrike reportedly set a hospital in Kutum on fire that day.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
5/28/24," ""On May 28, 2024, a pro-RSF account on the X platform posted a video showing active fires in several buildings at the Kutum Teaching Hospital. Kutum is 100 kilometers northwest of the besieged city of El Fasher, the capital of North Darfur state. The spokesperson said in the video that the air strikes completely destroyed the hospital's electricity system, as well as the maternity ward, noting the presence of women in the hospital. He added that this is the second time the hospital has been bombed. The video shows explosion marks on the walls of the buildings, similar to those caused by explosions as a result of bombing. The incident comes in a series of documented incidents of the armed forces' destruction of health facilities, infrastructure, oil facilities, commercial buildings and citizens' homes. Coordinates: 14.202419, 24.660617""   (Verbatim report from the source) . A listener of Radio Dabanga in El Fasher confirmed that SAF warplanes bombed the hospital of Kutum, which is located northwest of El Fasher on Tuesday, May 28 in the evening, “killing and injuring many patients and destroying parts of the hospital”. The listener also reported that SAF shot down  the same day an RSF drone iin El Salam, a neighbourhood in the southern part of the city in response to the RSF artillery shelling.","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
5/31/24,"On May 31, the RSF launched a heavy artillery attack on the “Major Five” border area, which separates Al-Jazirah State from Al-Faw locality in Gedaref State. The Sudanese army responded to the attack in the Al-Faw axis with heavy artillery fire. The Army and allied troops are stationed in Al-Faw and Al-Khiyari areas in Gedaref State, adjacent to Al-Jazirah State, within three axes and trying to recapture Al-Jazirah from the RSF.","Military operations (battle,  shelling)"
5/31/24,"On Friday, May 31, at least ten people were killed during intense artillery shelling by the Rapid Support Forces (RSF) on densely populated neighbourhoods in El-Fasher, including Al-Inqadh, Al-Amal, Birinja, Al-Kifah, and Al-Salam,” along with the South Hospital, the only medical facility that is still operational in the  North Darfur capital city. "," Willful killing of civilians,  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
6/1/24,"On Saturday, June 1st, fierce clashes erupted again in El-Fasher, the capital of North Darfur State, as fighting between the Sudanese Armed Forces (SAF), allied armed groups, and the Rapid Support Forces (RSF) intensified. The renewed violence resulted in the deaths of approximately 11 civilians and left dozens injured.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
6/2/24,"The Rapid Support Forces (RSF) have reportedly lost control over an allied group of gunmen, known as El Shafshafa, fighting with them in North Kordofan. The El Shafshafa ‘bandits’ are wreaking havoc in southern North Kordofan, an informed source told Radio Dabanga yesterday. On Sunday, they intercepted a convoy of 38 lorries loaded with livestock in the area of El Rahad, on the recently reopened road connecting El Obeid, capital of North Kordofan, with Tandalti, White Nile state. 80 sheep were stolen.","Damage or destruction,  looting,  or theft of cultural heritage "
6/2/24,"On Sunday evening, June 2nd, the Southern Hospital, the only operating hospital in the city of El Fasher, the capital of North Darfur State, decided to evacuate the wounded and sick, after the hospital was bombed."," Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
6/2/24,"At least 12 people were killed in El Fasher, the capital of North Darfur, on Sunday evening (June 2nd) due to artillery shelling by the Rapid Support Forces (RSF), which has besieged the city for more than a month. In an attempt to alleviate the severe medical shortage in El Fasher, the National Medical Supplies Fund (NMSF) airdropped medicines into the city. A resident of El Fasher reported to Radio Dabanga that the RSF repeatedly shelled the Tembasi area, killing nine people and injuring multiple others. The RSF also attacked the western side of the Um Defeso Market, resulting in three more deaths and several injuries “of varying severity”. Large waves of people are fleeing the city due to arbitrary shelling of homes across various neighbourhoods","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
6/2/24,"At least 12 people were killed in El Fasher,  North Darfur  in the evening of Sunday, June 2nd as a result of  artillery shelling by the Rapid Support Forces (RSF) who have besieged the city for more than a month. In an attempt to alleviate the severe medical shortage in El Fasher, the National Medical Supplies Fund (NMSF) airdropped medicines into the city. A resident of El Fasher reported to Radio Dabanga that the RSF repeatedly shelled the Tembasi area, killing nine people and injuring multiple others. The RSF also attacked the western side of the Um Defeso Market, resulting in three more deaths and several injuries “of varying severity”.
Large waves of people are fleeing the city due to arbitrary shelling of homes across various neighbourhoods","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
6/3/24,"Russia has secured permission from Sudan’s Transitional Sovereign Council, led by General Abdel Fattah al-Burhan, to build a naval support facility on the Red Sea coast, in return for which Russia will provide the Sudanese military with weapons and ammunition.","Movement of military,  paramilitary,  or other troops and equipment"
6/3/24,"Rapid Support Forces attacked Gawarir garrison, resulting in 8 fatalities (5 army, 3 RSF), and captured 25 army personnel","Military operations (battle,  shelling)"
6/4/24,"Late Tuesday Night, June 4th, a Rapid Support Forces (RSF) unit assassinated journalist Muawiya Abdel Razzaq and three of his family members at their home in the Al-Droshab suburb, north of Khartoum Bahri (North).","Willful killing of civilians,  Indiscriminate use of weapons"
6/5/24,"On Wednesday, June 5th, the army forces of the Heglig Brigade (90) had burned several villages following their entry into the Kwarir area after the RSF had withdrawn from it three days prior. The army forces burned the villages of Kwarir, Ageebesh, Maniego, and other neighboring villages, killing eight citizens and forcing a mass exodus of residents to areas like Lagawa and Um Adara, while many others remained in the open.","Willful killing of civilians,  Indiscriminate use of weapons,  Mass execution"
6/5/24,"On Wednesday, June 5th, the neighbourhood Resistance Committees of Madani announced that the Rapid Support Forces (RSF) stormed the village of Wad Al-Noora in the 24 Al-Qurashi locality of Al-Jazira state, killing 180. Since taking control of Al-Jazirah in 2023, the RSF has been raiding villages in the state, committing heinous crimes against unarmed residents, including killing, kidnapping, forced displacement, and looting of properties, including crops and household furniture.","Willful killing of civilians,  Indiscriminate use of weapons,  Damage or destruction,  looting,  or theft of cultural heritage,  Mass execution,  Kidnapping,  Forced dissapearance"
6/5/24,"On Wednesday, June 5th, the neighborhoood resistance committees of Madani reported : « The village of Wad Al-Noora witnessed a massacre after the RSF militia attacked it twice, killing up to 100 people.”
The village of Wad Al-Noora, located in the 24 Al-Qurashi locality of Al-Jazira state, was attacked twice by the Rapid Support Forces, according to the eyewitnesses, « while the army remained “stationary inside Al-Manaqil locality.”
The day after, both eye witnesses and the UN confirmed that an attack against  left  200 people dead, including 35 children. The RSF denied responsibility but acknowledged carrying out military operations near that village."," Willful killing of civilians,  Indiscriminate use of weapons,  Mass execution"
6/6/24,"On Thureday evening, June 6th, the army’s artillery shelling came hours after RSF artillery shelling from Khartoum Bahri targeted residential neighbourhoods north of Omdurman, such as Al-Thawra, Al-Manara, and Al-Hatana. According to the Coordination of Resistance Committees in Karari, Omdurman, this resulted in the deaths of at least 40 civilians and the injury of dozens, marking the largest death toll from artillery shelling in the army-controlled area.","Indiscriminate use of weapons,  Willful killing of civilians,  Mass execution"
6/6/24,"On Thursday, June 6th, the Karari Resistance Committee, a grassroots pro-democracy group,reported that an attack by the RSF in Omdurman, Khartoum state killed at least 40 civilians and injured more than 50 others. "," Willful killing of civilians,  Indiscriminate use of weapons,  Mass execution"
6/6/24,"People living in El Fasher, capital of North Darfur, besieged by the paramilitary Rapid Support Forces (RSF), are still suffering from daily artillery shelling. The exact number of deaths and injuries in the past two days is not yet known. Additionally on Thursday morning, June 7th, more than 30 missiles hit the city. The El Faki Mohamed Saeed Mosque, east of the Igra Hospital, was severely damaged.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure"
6/7/24,"On Friday, June 7th, the Sudanese army’s heavy artillery shelled RSF positions in Khartoum Bahri from north of Omdurman. ","Military operations (battle,  shelling),  Indiscriminate use of weapons"
6/8/24,"On Saturday, June 8th a force belonging to the Sudanese army's Heglig Brigade (90) under the 22nd Infantry Division in Babanusa, West Kordofan State, opened fire on a civilian vehicle in the Kilak area of West Kordofan, resulting in the death of two civilians. Citizens from West Kordofan accused the army of targeting the youth of the region based on tribal affiliations, alleging they are supporters of the Rapid Support Forces (RSF).","Willful killing of civilians,  Indiscriminate use of weapons"
6/8/24,"On Saturday, June 8thm Rapid Support Forces (RSF) stormed El Fasher South Hospital, before violent clashes erupted nearby with the Sudanese army and allied forces, ultimately leading to the RSF’s withdrawal."," Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure?"
6/9/24,"On Sunday, June 9th, two people were shot dead by gunmen inside their farm in the Hajar al-Nahl area, 6 km east of Dilling city in South Kordofan state."," Willful killing of civilians,  Indiscriminate use of weapons"
6/9/24,"On June 9th, the Kuma locality was targeted by SAF-strikes 6 times which caused destruction of houses and killed and injured civilians. The town is one of few localities that is still ruled by North Darfur Governor, there is no army bases for RSF,SAF or others, only Police with local Court.","Willful killing of civilians,  Indiscriminate use of weapons"
6/9/24,"On Sunday, June 9th, the Sudanese army announced that it had regained control of several neighbourhoods in the city of Babanusa, West Kordofan state, after a months-long siege imposed by the Rapid Support Forces (RSF) on the 22nd Infantry Division headquarters.","Movement of military,  paramilitary,  or other troops and equipment"
6/9/24,"On Saturday, June 9th, El Fasher’s South Hospital, the main healthcare facility and the only one that was still operational in the North Darfur State capital, was forced to close  following an attack by the Rapid Support Forces (RSF). Ibrahim Abdullah Khatir, director-general of North Darfur State’s Health Ministry, and eyewitnesses reported that the RSF “attacked doctors and medical staff, and kidnapped hospital volunteers », and looted phones and belongings” of medical personnel."," Damage or destruction of civilian critical infrastructure,  Damage or destruction,  looting,  or theft of cultural heritage,  Kidnapping"
6/9/24,"On June 9th, private sources have revealed to Sudan Tribune that several mentally disabled individuals have been killed in various areas of Khartoum by soldiers belonging to the Rapid Support Forces (RSF), either by shooting or torture. Alim Ahmed, a Bahri resident who fled to South Sudan, witnessed the killing of three mentally disabled people on Al-Sayyid Ali Street (Shambat Street) at different times.",Willful killing of civilians
6/10/24,"On Monday,  June 10, the Rapid Support Forces (RSF) continued their assault on populated areas in El Fasher with heavy artillery. Eyewitnesses reported to Sudan Tribune that the RSF launched a violent artillery attack on several locations within El Fasher, killing and injuring numerous civilians, compelling many to flee the city. The shelling targeted the Al-Wadi neighbourhoods, areas near the army’s general command and the main market, the Tambasi neighbourhood, and shelters for displaced people in the Al-Qadi and Dar Al-Salam schools.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
6/10/24,"On Monday evening, June 10th, military clashes renewed in the city of El Fasher, the provincial capital of North Darfur state, with the Rapid Support Forces approaching (RSF )areas controlled by the army and its allied movements. A medical source, who preferred to withhold his name, revealed to “Darfur 24” that the Sayyid Al-Shuhada Health Center in the south of the city was subjected to intense bombardment, and the Rapid Support Forces advanced to the Southern Hospital after they penetrated deep into Al-Salam neighborhood, which is adjacent to the Southern Hospital in Al-Wahda neighborhood, for the second time.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
6/11/24,"On June 11, a humanitarian aid worker and at least six children were reportedly killed in escalating violence in Sudan’s El Fasher as thousands more young lives hang in the balance."," Willful killing of civilians,  Indiscriminate use of weapons"
6/11/24,"From June 10 to 11th, at least 35 civilians were killed in El Fasher as heavy artillery shelling by the Rapid Support Forces (RSF) continues to rain down on various neighbourhoods across the city. According to a medical source and the  Darfur Victims Organisation, the  35 civilians killed in just two days by RSF shelling on densely populated areas, included volunteers (8) working in a charity kitchen in the Tambasi neighbourhood. Several  other neighbourhoods, including Tambasi, the Grand Market vicinity, Basharia, Baringia, Awlad al-Reef, al-Thawra, and Mukarka, have been heavily impacted by the RSF’s artillery shelling, resulting in the destruction of numerous homes and injuries to countless civilians."," Willful killing of civilians,  Indiscriminate use of weapons,  Mass execution"
6/12/24,"On Wednesday, June 12,  the Joint forces in the city of En Nahud, West Kordofan State, arrested a popular delegation from the area of Jubara, west of En Nahud. The delegation had come to the city  to invite the local executive director and his security committee to participate in an upcoming Eid al-Adha celebration in the area, under the slogan ""No to War - Yes to Peace.""",Unlawful detention
6/12/24,"On  Wednesday evening, June 12th, the Sudanese Army has arrested the leader of an armed group in the “Al-Bouqa” area in the Nile River State, after clashes between the two sides resulted in the killing and wounding of 7 individuals. A military source told Darfur 24 that violent clashes took place between a Sudanese army force and an armed group led by Muhammad Ali Ibrahim, announcing the killing and wounding of “7” individuals.","Indiscriminate use of weapons,  Unlawful detention"
6/13/24,"On Thursday, June 13th, the Joint Force led by Minni Minawi, primarily composed of the Sudan Liberation Movement/Army (SLM/A), claimed to have inflicted significant losses on the Rapid Support Forces (RSF) in a battle at Wadi Ambar in North Darfur. The SLM/A-Minawi spokesperson, Al Sadig Ali Al Nur, announced the victory, stating that many RSF militias were killed, their vehicles were destroyed, and some military equipment was captured. The combat in Wadi Ambar marks an escalation of the conflict, which has spread from El Fasher, North Darfur’s capital, to rural and desert regions near the Chadian border. This strategic move by the Joint Force threatens the RSF siege of El Fasher by targeting areas behind the main RSF force. The RSF has not yet commented on this battle.","Military operations (battle,  shelling)"
6/14/24," An internal source of the Rapid Support Forces (RSF) reported that Major General Ali Yaqoub was killed in an ambush by the Sudanese army and Joint Force on his way to Nyala. Ali Yaqoub was the commander of the RSF. The source said that Yaqoub was injured on Tuesday during fighting in the city of El Fasher, and it was decided to transfer him to the city of Nyala, 205 kilometers south, to receive treatment. However, he was ambushed on the El Fasher-Nyala road and killed along with all his companions.","Military operations (battle,  shelling)"
6/14/24,"On June 14, 2024, a pro-RSF account posted a video on the X platform showing members of the RSF shooting south of El Fasher city, North Darfur. In the video, the cameraman indicates their proximity to the El Fasher-Nyala road (B26) inside El Fasher city in a location about ~350 meters south of Lafa Tugro on the El Fasher-Nyala road, and about 4 kilometers (by asphalt) south of the command of the last division of the Sudanese Armed Forces in Darfur.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
6/14/24,"On Friday, June 14th, the Sudanese Army announced that Ali Yaqoub, the Rapid Support Forces (RSF) Operations Commander in North Darfur, was killed during an attack on El Fasher. In a statement published by Sudan Tribune, Sudanese Armed Forces spokesman Nabil Abdallah, declared: “The army and joint forces thwarted an attack by the RSF this morning, inflicting heavy losses, including hundreds of dead and wounded, among them their criminal commander Ali Yaqoub.”","Military operations (battle,  shelling)"
6/17/24,"On June 17, there were violent clashes between the Joint Force of Armed Movements and the RSF in the Zara and Baar areas of Wadi Ambar in Ambro locality, 200 Km North west of El Fasher.
Statements from senior officials from the Joint Force and the RSF confirmed an undetermined number of fatalities on both sides, the destruction of villages,  and the seizing of military equipment. According to a Joint Force senior offiical who claimed victory of their forces over the RSF, « the RSF burned 3 villages belonging to the Rori and Um Baar administration in Wadi Ambar, looted citizens’ property and the health center, and fled to the Zarq area. »
However, the RSF spokesperson claimed that they defeated the Joint Force in « the he Umm Baar area in the Ambar Valley and chasing them south to the Mazbad area and the Aruri area », after seizing an important military equipment and killing 400 mercenaries. The fighting has caused a massive displacement of population.","Military operations (battle,  shelling),  Damage or destruction of civilian critical infrastructure,  Damage or destruction,  looting,  or theft of cultural heritage?"
6/17/24,"On Monday, June 17, a woman and her two children were killed and a fourth person injured  when an indiscriminate artillery shelling attributed to the  Rapid Support Forces landed on a home of displaced persons in the Qarni area, north of El Fasher. ","Indiscriminate use of weapons,  Willful killing of civilians"
6/18/24,"On Tuesday, June 18th, artillery shelling by the Rapid Support Forces (RSF) on El Fasher resulted in the death of at least twenty people, most of whom were women and children. Around 42 people were injured in the shelling, which was concentrated on the Abu Shouk neighborhood in the northern part of the city, causing the destruction of numerous homes and properties in the targeted neighborhoods. Field sources from El Fasher stated that the artillery shelling by the Rapid Support Forces, which originated from Mount Abuja (Peace Camp), intensively targeted Blocks 1 and 2 in the Abu Shouk displaced persons camp and the Nevasha Market in the camp.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling),  Mass execution"
6/18/24,"On Tuesday, June 18th, a police force opened fire on a crowd of citizens  in an attempt to resolve a conflict that broke out the day before in the Walmahi locality,   Blue Nile state, leading to the death of two young people.","Extrajudicial killing,  Willful killing of civilians"
6/18/24,"On Wednesday, June 18th, the Rapid Support Forces (RSF)  launched attacks against a Sudanese army force that has been trapped in southwest Khartoum for more than a year in an area known as ‘The Tree’ (Al-Shajara).","Military operations (battle,  shelling)"
6/19/24,"In the evening of Wednesday, June 19th, field sources from Kutum reported that the Sudanese Armed Forces' (SAF) airstrike targeted the Salama neighborhood, East Dababeen neighborhood, and West Dababeen neighborhood (near the Western School), resulting in the death of the family of Mr. Issa Mohamedin Zain, known as (Issa Dies), his wife, daughter, and son in the Salama neighborhood near the Solidarity School. Another strike targeted the home of Mr. Mohamedin Mohamed Ahmed, known as ""Skull,"" injuring a ninety-year-old woman, and another strike near the Western School injured several members of a single family.","Indiscriminate use of weapons,  Willful killing of civilians"
6/19/24,"On Wednesday, June 19th, Doctors Without Borders (MSF) announced on Wednesday the death of three people, including a volunteer, and the injury of 27 others following intense artillery shelling that struck a medical facility in northern Omdurman. Among the targeted sites was Al Nao Hospital, the only functioning medical facility in Omdurman, supported by MSF. This hospital had previously been repeatedly targeted by the RSF, causing casualties among patients and their companions.","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons,  Willful killing of civilians"
6/20/24,"On Thursday, June 20th, the Rapid Support Forces (RSF) attacked the West Kordofan State capital, Al-Fula, swarming from the north and western sides of the city. Sources in the state told Sudan War Monitor that the attack followed the withdrawal of an army force led by Colonel al-Hadi Diab, commander of the 92nd infantry Battalion of the 22nd Infantry Division, from al-Fula toward al-Udayyah and an-Nahud, which left the city under-defended.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
6/21/24,"On Friday, June 21st, a pro-Rapid Support Forces (RSF) Telegram channel published videos showing an RSF commander and soldiers shooting at approximately 22 prisoners and injured numerous individuals wearing civilian clothing, SAF uniforms, and police uniforms in the city of Al-Fula, West Kordofan.","Military operations (battle,  shelling)"
6/21/24,"New development and movement of troops: According to  some local analysts of the  media outlet Mada Masr, ""a new front has opened in North Darfur’s desert, bordering Libya and Chad. The military-allied joint force of armed movements is fighting against the Rapid Support Forces (RSF) in a bid to cut off supply lines to the Zurug military base, the RSF’s largest stronghold."" This war in the desert is waged over the control of humanitarian access routes as well as supply lines controlled by ilicit trafficking networks involved in gold, arms, and fighters trafficking between Libya, Sudan, Chad, and Central African Republic.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
6/21/24,"On  Wednesday, June 19th, and Friday, June 21st, the Rapid Support Forces (RSF) reportedly damaged two hospitals . The first being the Al-Nau hospital in Omdurman, and the Saudi Maternity Hospital in El Fasher, both attacks resulting in casualties and damage to the facilities. According to MSF, “On the night of Friday 21 June, RSF shelling hit the pharmacy of the MSF-supported Saudi hospital in El Fasher. A pharmacist was killed while on her shift, and the pharmacy building was damaged. Although the hospital remains open and is still treating patients today, it has been damaged and is only partially functional.""","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons,  Willful killing of civilians"
6/23/24,"In the evening of June 23, a huge fire broke out at the Bahri thermal power station in Khartoum North with  thick clouds of smoke rising  in the sky for hours.  The RSF and SAF accused each other  of bombing the facility, calling it “an effort to destroy vital and strategic facilities and installations”.","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons,  Military operations (battle,  shelling)"
6/23/24,"On Sunday, June 23rd, the only remaining dialysis center in El Fasher was targeted by the RSF causing severe damage to the hospital building and equipment. Conflicting reports exist about whether the centre was completely or partially destroyed. However, video footage reviewed by Radio Dabanga confirmed parts of the centre were destroyed but not entirely burned.","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
6/24/24,"On Monday, June 24th, another video surfaced published by a pro-RSF Telegram channel showing RSF forces launching rockets towards northeast along Kosti-Sennar Road with a Multiple Launch Rocket System (MLRS)","Military operations (battle,  shelling),  Indiscriminate use of weapons"
6/24/24,"On June 24,  fierce clashes erupted  between the RSF and the SAF over the control of the Sennar Sugar Factory, surrounding villages, and the strategic Jabal Moya area with each party and affiliated media outlets issuing contradictory statements. ","Military operations (battle,  shelling)"
6/24/24,"On Monday, June 24th, the residents of Sennar in Sennar state were confused and full of fear as authorities shut down shops, roads, and schools   in response to an attack by RSF on Jebel Moya, a group of granite hills located 24km west of Sennar. Additionally, a pro-RSF Telegram channel published a video showing the RSF entering north Jebel Moya on Monday morning.","Military operations (battle,  shelling)"
6/25/24,"On Tuesday, June 25, human rights defenders in North Darfur state revealed that the intelligence wing of the Joint Forces arrested in El Fasher  political leaders and civilians suspected of collaborating with the Rapid Support Forces.","Forced disappearance,  Unlawful detention"
6/25/24,"In the evening of Tuesday, June 25,  the RSF forces attacked the SAF positions  in  the Al-Arab area, north of the city of Sennar.  The attack was reportedly successfully repelled by the Army with the support of intelligence units and Popular Resistance forces.  The Army claimed to have killed a substantial number of RSF fighters and seized military equipment.  ","Military operations (battle,  shelling)"
6/25/24,"On Tuesday, June 25, the RSF and the SAF violently clashed in  the northern outskirts of Sennar, southeastern Sudan, after the army repelled an offensive of the militia in the Jabal Moya area, which is strategically located on the national highway connecting the states of Sennar, Al Jazirah, and White Nile. . The fighting caused panic among residents, leading to a mass exodus from the city towards neighbouring areas.","Military operations (battle,  shelling)"
6/25/24,"On Tuesday, June 25th, the RSF further intensified its attacks on El Fasher by continuing to shell the Abu Shouk Camp and Iqraa Hospital.At least 5 civilians were killed and 4 injured at Abu Shouk Camp.  Adam Rijal, the spokesman for the Coordination of Displaced Persons and Refugees in Darfur, confirmed that shells fell in blocks 3, 6, 7, and 13 of the IDP camp. The Sudan Liberation Movement faction led by Minni Minawi (SLM-MM) also stated that the RSF bombarded El Fasher with over 26 heavy artillery rounds between 9 a.m. and noon on Tuesday. The attack targeted various neighbourhoods and displacement camps, resulting in six fatalities and 14 injuries, including children and women. Additionally, one person was killed and another injured when shells fired by the RSF struck the Iqraa Hospital.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
6/26/24,"Five people were killed and others wounded as clashes were renewed on Wednesday, June 26,  between the Sudanese army and allied armed movements on the one hand, and the Rapid Support Forces on the other hand in the city of El Fasher. A medical source at the state Ministry of Health confirmed to “Darfur 24” the death of 4 displaced persons from one family sheltering at considerations center in the Timbasi Model Primary School for Girls, south of the city, after they were hit by artillery shelling fired by the Rapid Support Forces.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
6/27/24,"On Thursday, June 27th, the Rapid Support Forces (RSF) continued their assault on medical facilities in El Fasher, the capital of North Darfur. The latest attack destroyed a child malnutrition treatment centre in a camp overflowing with displaced people. ","Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
6/29/24,"On Saturday, June 29th, the RSF seized Sinjah, advancing from their positions in Jabal Moya, a strategic region connecting Sennar with other states. They swiftly took control of the army base, government headquarters, and began looting and terrorizing residents."," Damage or destruction,  looting,  or theft of cultural heritage?,  Movement of military,  paramilitary,  or other troops and equipment"
